Year,Total movies,"Average
Production
Budget","Combined
Worldwide
Box Office",No. 1 Movie
2019, 234," $20,975,000"," $1,410,934,941", It: Chapter Two
2018, 257," $11,326,316"," $1,911,880,577", The Nun
2017, 200," $19,909,091"," $2,335,802,255", It
2016, 180," $7,871,053"," $1,200,924,327", The Conjuring 2: The Enfield Poltergeist
2015, 206," $7,334,213"," $925,231,510", Goosebumps
2014, 101," $7,728,571"," $760,893,609", Annabelle
2013, 81," $8,156,176"," $952,553,651", The Conjuring
2012, 106," $7,074,400"," $829,587,030", Paranormal Activity 4
2011, 82," $18,707,490"," $976,161,547", Paranormal Activity 3
2010, 88," $20,100,000"," $1,325,489,156", Resident Evil: Afterlife
2009, 54," $15,710,714"," $1,110,785,516", Paranormal Activity
2008, 55," $10,154,762"," $476,720,460", Saw V
2007, 47," $21,048,190"," $1,557,477,938", I am Legend
2006, 39," $15,306,579"," $1,062,647,067", Saw III
2005, 34," $20,781,250"," $1,063,151,958", The Ring Two
2004, 24," $27,490,909"," $869,312,207", The Grudge
2003, 18," $15,458,333"," $801,365,970", Gothika
2002, 12," $28,000,000"," $535,213,314", The Ring
2001, 17," $19,112,222"," $726,707,749", Hannibal
2000, 13," $29,562,500"," $637,580,744", Hollow Man
1999, 12," $28,610,000"," $836,123,468", The Blair Witch Project
1998, 14," $26,000,000"," $399,568,738", Urban Legend
1997, 10," $38,666,667"," $563,050,887", Scream 2
1996, 8," $16,333,333"," $246,492,967", Scream
1995, 15," $9,250,000"," $143,469,126", Tales from the Crypt: Demon Knight
1994, 10," $34,333,333"," $369,484,054", Interview with the Vampire: The Vampire Chronicles
1993, 14," $6,166,667"," $101,315,608", Army of Darkness
1992, 8," $23,500,000"," $328,874,319", Bram Stoker's Dracula
1991, 10," $6,000,000"," $98,713,186", Freddy’s Dead: The Final Nightmare
1990, 19," $8,600,000"," $164,261,401", Child's Play 2
1989, 18," $6,020,000"," $167,878,212", Pet Sematary
1988, 20," $6,355,556"," $218,856,208", A Nightmare on Elm Street 4: The Dream Master
1987, 24," $6,514,286"," $221,631,626", A Nightmare On Elm Street 3: Dream Warriors
1986, 25," $5,340,000"," $221,717,841", Poltergeist II: The Other Side
1985, 18," $7,450,000"," $157,876,994", Day of the Dead
1984, 14," $5,162,500"," $110,152,366", Friday the 13th Part IV: The Final Chapter
1983, 26," $5,345,400"," $252,266,572", Jaws 3-D
1982, 20," $4,930,000"," $257,403,660", Poltergeist
1981, 23," $1,583,333"," $211,544,851", An American Werewolf in London
1980, 18," $5,250,000"," $187,420,598", Friday the 13th
1979, 12," $8,066,667"," $410,934,807", Alien
1978, 8," $10,162,500"," $327,846,909", Jaws 2
1977, 8," $4,866,667"," $49,271,172", Exorcist II: The Heretic
1976, 10," $2,300,000"," $74,455,584", The Omen
1975, 7," $12,000,000"," $470,758,341", Jaws
1974, 6," $140,000"," $26,572,439", The Texas Chainsaw Massacre
1973, 18," $12,000,000"," $428,214,478", The Exorcist
