Year,Total movies,"Average
Production
Budget","Combined
Worldwide
Box Office",No. 1 Movie
2019, 269," $37,209,091"," $2,665,370,689", Joker
2018, 281," $21,200,000"," $1,790,074,240", Maze Runner: The Death Cure
2017, 268," $42,150,000"," $1,896,201,880", Blade Runner 2049
2016, 257," $29,671,154"," $2,376,021,677", Now You See Me 2
2015, 230," $21,215,238"," $3,053,916,855", The Martian
2014, 134," $17,284,163"," $2,258,907,034", The Hunger Games: Mockingjay - Part 1
2013, 155," $30,588,974"," $3,067,623,735", Gravity
2012, 131," $22,382,027"," $3,031,762,806", The Hunger Games
2011, 89," $29,196,154"," $2,164,344,610", Super 8
2010, 82," $31,351,394"," $2,802,615,729", Inception
2009, 74," $26,319,167"," $2,182,404,267", Angels & Demons
2008, 69," $30,869,231"," $1,812,709,899", Valkyrie
2007, 64," $32,305,556"," $1,524,443,255", The Bourne Ultimatum
2006, 33," $37,675,350"," $1,868,511,469", The Da Vinci Code
2005, 22," $25,052,941"," $916,943,364", Flightplan
2004, 32," $36,351,940"," $1,405,000,330", The Bourne Supremacy
2003, 20," $30,345,455"," $664,036,579", The Recruit
2002, 29," $35,147,744"," $1,560,220,279", Signs
2001, 25," $30,552,632"," $1,324,534,043", Ocean's Eleven
2000, 25," $32,882,874"," $1,010,960,783", What Lies Beneath
1999, 19," $27,266,667"," $1,257,998,110", The Sixth Sense
1998, 19," $29,257,556"," $436,690,321", Snake Eyes
1997, 23," $62,833,333"," $3,006,705,188", Titanic
1996, 20," $26,851,000"," $503,103,816", Executive Decision
1995, 17," $34,400,000"," $749,396,045", Se7en
1994, 6," $43,000,000"," $218,467,073", Wolf
1993, 20," $25,125,000"," $1,173,381,441", The Fugitive
1992, 16," $18,000,000"," $1,094,655,572", The Bodyguard
1991, 17," $20,666,667"," $786,045,126", The Silence of the Lambs
1990, 20," $29,000,000"," $773,810,880", Presumed Innocent
1989, 16," $24,500,000"," $250,424,859", Black Rain
1988, 17," $4,000,000"," $252,751,769", Masquerade
1987, 15," $7,950,000"," $457,385,036", Fatal Attraction
1986, 13,," $79,939,387", The Morning After
1985, 10," $5,166,667"," $183,233,122", Witness
1984, 12," $5,275,000"," $167,950,819", Tightrope
1983, 11," $13,500,000"," $107,852,111", WarGames
1982, 13," $28,000,000"," $80,155,605", Blade Runner
1981, 9," $9,416,667"," $129,887,538", Sharky's Machine
1980, 5," $6,500,000"," $52,040,308", Dressed to Kill
1979, 5,," $36,102,205", The China Syndrome
1978, 7," $12,000,000"," $37,900,000", The Boys from Brazil
1977, 7,," $80,681,884", The Deep
1976, 4,,,
1975, 9,," $2,002,225"," Farewell, My Lovely"
1974, 7," $2,700,000"," $87,460,402", Airport 1975
1973, 8,," $97,929", Don’t Look Now
1972, 8," $3,500,000"," $68,761,836", Deliverance
1971, 11," $6,500,000"," $35,538,658", Klute
1970, 8,," $100,861,379", Airport
1969, 5," $4,000,000"," $6,000,000", Topaz
1968, 2,," $17,810,894", The Boston Strangler
1967, 3," $3,000,000",,
1966, 3," $3,000,000"," $13,000,000", Torn Curtain
1965, 2," $5,800,000"," $6,800,000", The Train
1964, 4,," $7,008,058", Marnie
1963, 4,," $95,413", Classe Tous Risques
1962, 5,," $141,045", Le Doulos
1961, 3,," $25,564", Victim
1960, 4,," $7,515,068", Midnight Lace
1959, 1,," $2,528", Deux hommes dans Manhattan
1958, 2,," $5,529,345", Vertigo
1956, 4," $1,200,000"," $2,529,179", The Wrong Man
1955, 3," $1,200,000"," $15,750,000", To Catch a Thief
1954, 2,," $33,579,464", Rear Window
1953, 6," $1,250,000"," $2,506,324", Niagara
1952, 1,," $24,476", Sudden Fear
1951, 1," $1,200,000"," $7,019,967", Strangers on a Train
1950, 3,," $1,196,979", The Third Man
1949, 2,," $198,324", The Fallen Idol
1948, 2,,,
1947, 5,," $16,480", Roma città aperta
1946, 6," $2,000,000"," $24,492,698", Notorious
1945, 3," $1,500,000"," $7,000,000", Spellbound
1944, 2,," $39,523", Went the Day Well?
1943, 2,,,
1942, 2,,,
1941, 1,," $4,500,000", Suspicion
1940, 3,,,
1939, 3,,,
1935, 1,,,
1932, 1,,,
1930, 1,,,
1929, 2,,,
1927, 1,,,
1924, 1,," $18,835", Der müde Tod
