name,type,calories,protein,fat,sodium,fiber,carbo,sugars,weight,cups
100% Bran,C,70,4,1,130,10.0,5.0,6,1.0,0.33
100% Natural Bran,C,120,3,5,15,2.0,8.0,8,1.0,1.0
All-Bran,C,70,4,1,260,9.0,7.0,5,1.0,0.33
All-Bran with Extra Fiber,C,50,4,0,140,14.0,8.0,0,1.0,0.5
Almond Delight,C,110,2,2,200,1.0,14.0,8,1.0,0.75
Apple Cinnamon Cheerios,C,110,2,2,180,1.5,10.5,10,1.0,0.75
Apple Jacks,C,110,2,0,125,1.0,11.0,14,1.0,1.0
Basic 4,C,130,3,2,210,2.0,18.0,8,1.33,0.75
Bran Chex,C,90,2,1,200,4.0,15.0,6,1.0,0.67
Bran Flakes,C,90,3,0,210,5.0,13.0,5,1.0,0.67
Cap'n'Crunch,C,120,1,2,220,0.0,12.0,12,1.0,0.75
Cheerios,C,110,6,2,290,2.0,17.0,1,1.0,1.25
Cinnamon Toast Crunch,C,120,1,3,210,0.0,13.0,9,1.0,0.75
Clusters,C,110,3,2,140,2.0,13.0,7,1.0,0.5
Cocoa Puffs,C,110,1,1,180,0.0,12.0,13,1.0,1.0
Corn Chex,C,110,2,0,280,0.0,22.0,3,1.0,1.0
Corn Flakes,C,100,2,0,290,1.0,21.0,2,1.0,1.0
Corn Pops,C,110,1,0,90,1.0,13.0,12,1.0,1.0
Count Chocula,C,110,1,1,180,0.0,12.0,13,1.0,1.0
Cracklin' Oat Bran,C,110,3,3,140,4.0,10.0,7,1.0,0.5
Cream of Wheat (Quick),H,100,3,0,80,1.0,21.0,0,1.0,1.0
Crispix,C,110,2,0,220,1.0,21.0,3,1.0,1.0
Crispy Wheat & Raisins,C,100,2,1,140,2.0,11.0,10,1.0,0.75
Double Chex,C,100,2,0,190,1.0,18.0,5,1.0,0.75
Froot Loops,C,110,2,1,125,1.0,11.0,13,1.0,1.0
Frosted Flakes,C,110,1,0,200,1.0,14.0,11,1.0,0.75
Frosted Mini-Wheats,C,100,3,0,0,3.0,14.0,7,1.0,0.8
Fruit & Fibre Dates; Walnuts; and Oats,C,120,3,2,160,5.0,12.0,10,1.25,0.67
Fruitful Bran,C,120,3,0,240,5.0,14.0,12,1.33,0.67
Fruity Pebbles,C,110,1,1,135,0.0,13.0,12,1.0,0.75
Golden Crisp,C,100,2,0,45,0.0,11.0,15,1.0,0.88
Golden Grahams,C,110,1,1,280,0.0,15.0,9,1.0,0.75
Grape Nuts Flakes,C,100,3,1,140,3.0,15.0,5,1.0,0.88
Grape-Nuts,C,110,3,0,170,3.0,17.0,3,1.0,0.25
Great Grains Pecan,C,120,3,3,75,3.0,13.0,4,1.0,0.33
Honey Graham Ohs,C,120,1,2,220,1.0,12.0,11,1.0,1.0
Honey Nut Cheerios,C,110,3,1,250,1.5,11.5,10,1.0,0.75
Honey-comb,C,110,1,0,180,0.0,14.0,11,1.0,1.33
Just Right Crunchy  Nuggets,C,110,2,1,170,1.0,17.0,6,1.0,1.0
Just Right Fruit & Nut,C,140,3,1,170,2.0,20.0,9,1.3,0.75
