Name,Age,Team,Games,Rebounds,Assists,Steals,Blocks,Turnovers,Points
Quincy Acy,28,PHO,10,25,8,1,4,4,17
Jaylen Adams,22,ATL,34,60,65,14,5,28,108
Steven Adams,25,OKC,80,760,124,117,76,135,1108
LaMarcus Aldridge,33,SAS,81,744,194,43,107,144,1727
Grayson Allen,23,UTA,38,23,25,6,6,33,211
Jarrett Allen,20,BRK,80,672,110,43,120,103,873
Al-Farouq Aminu,28,POR,81,610,104,68,33,72,760
Justin Anderson,25,ATL,48,84,23,22,13,23,178
Kyle Anderson,25,MEM,43,251,128,54,37,58,346
Ryan Anderson,30,TOT,25,54,19,4,1,14,63
Giannis Antetokounmpo,24,MIL,72,898,424,92,110,268,1994
OG Anunoby,21,TOR,67,197,47,46,22,55,469
Ryan Arcidiacono,24,CHI,81,219,269,65,4,63,544
Trevor Ariza,33,TOT,69,371,252,91,21,106,863
D.J. Augustin,31,ORL,81,203,426,52,4,128,948
Deandre Ayton,20,PHO,71,729,125,61,67,126,1159
Dwayne Bacon,23,CHO,43,89,47,12,5,18,316
Lonzo Ball,21,LAL,47,251,255,69,19,103,465
Harrison Barnes,26,TOT,77,361,115,50,13,98,1265
Will Barton,28,DEN,43,199,124,18,22,65,494
Keita Bates-Diop,23,MIN,30,83,17,18,14,14,151
Nicolas Batum,30,CHO,75,390,247,71,43,117,699
Jerryd Bayless,30,MIN,34,62,119,18,2,32,209
Aron Baynes,32,BOS,51,240,57,12,34,40,284
Kent Bazemore,29,ATL,67,261,152,89,42,121,779
Bradley Beal,25,WAS,82,411,448,121,58,224,2099
Malik Beasley,22,DEN,81,200,97,55,10,55,917
Marco Belinelli,32,SAS,79,198,132,35,8,72,829
Jordan Bell,24,GSW,68,184,76,20,51,42,223
DeAndre' Bembry,24,ATL,82,358,202,105,41,142,687
Dragan Bender,21,PHO,46,183,56,18,22,37,230
Patrick Beverley,30,LAC,78,388,300,67,43,85,596
Khem Birch,26,ORL,50,190,38,18,29,20,240
Bismack Biyombo,26,CHO,54,247,33,11,41,34,236
Nemanja Bjelica,30,SAC,77,444,147,54,56,82,741
Antonio Blakeney,22,CHI,57,106,42,12,9,35,418
Eric Bledsoe,29,MIL,78,362,430,116,29,165,1241
Andrew Bogut,34,GSW,11,55,11,3,8,8,39
Jonah Bolden,23,PHI,44,165,40,17,39,36,207
Isaac Bonga,19,LAL,22,25,15,9,4,6,19
Devin Booker,22,PHO,64,265,433,56,13,264,1700
Chris Boucher,26,TOR,28,56,2,6,24,7,93
Avery Bradley,28,TOT,63,175,152,41,16,89,625
Tony Bradley,21,UTA,3,15,1,2,2,3,17
Corey Brewer,32,TOT,31,76,39,32,7,19,151
Mikal Bridges,22,PHO,82,264,173,129,38,70,684
Miles Bridges,20,CHO,80,323,95,55,49,50,597
Ryan Broekhoff,28,DAL,42,63,22,6,4,16,167
Malcolm Brogdon,26,MIL,64,288,205,46,13,91,1001
Dillon Brooks,23,MEM,18,31,16,10,4,19,135
Bruce Brown,22,DET,74,185,91,40,36,46,319
Jaylen Brown,22,BOS,74,313,100,69,32,99,964
Sterling Brown,23,MIL,58,184,84,25,8,46,372
Jalen Brunson,22,DAL,73,169,230,37,4,88,678
Thomas Bryant,21,WAS,72,454,92,25,67,60,758
Reggie Bullock,27,TOT,63,173,129,40,12,65,711
Trey Burke,26,TOT,58,99,159,33,7,49,631
Alec Burks,27,TOT,64,235,128,39,21,65,561
Deonte Burton,25,OKC,32,28,9,6,8,9,82
Jimmy Butler,29,TOT,65,342,263,123,39,95,1215
Bruno Caboclo,23,MEM,34,158,50,14,33,38,282
Kentavious Caldwell-Pope,25,LAL,82,238,110,73,13,65,938
Isaiah Canaan,27,TOT,30,58,84,14,2,35,181
Clint Capela,24,HOU,67,848,96,44,102,94,1114
DeMarre Carroll,32,BRK,67,349,85,31,10,73,744
Jevon Carter,23,MEM,39,66,69,26,11,33,172
Vince Carter,42,ATL,76,194,87,44,27,48,562
Michael Carter-Williams,27,TOT,28,70,70,20,15,20,134
Willie Cauley-Stein,25,SAC,81,678,194,96,51,84,965
Tyson Chandler,36,TOT,55,307,37,21,23,42,173
Wilson Chandler,31,TOT,51,215,82,25,21,46,305
Chris Chiozza,23,HOU,7,4,4,1,1,1,6
Marquese Chriss,21,TOT,43,142,22,17,11,36,182
Gary Clark,24,HOU,51,116,18,20,26,7,148
Ian Clark,27,NOP,60,89,94,22,8,58,401
Jordan Clarkson,26,CLE,81,270,196,57,13,135,1364
John Collins,21,ATL,61,595,121,22,39,120,1188
Zach Collins,21,POR,77,324,71,25,66,77,512
Darren Collison,31,IND,76,232,459,110,9,125,853
Mike Conley,31,MEM,70,239,449,94,22,130,1478
Pat Connaughton,26,MIL,61,258,122,33,25,33,421
Quinn Cook,25,GSW,74,157,116,20,3,50,509
DeMarcus Cousins,28,GSW,30,247,107,40,44,72,488
Robert Covington,28,TOT,35,193,46,74,47,47,465
Allen Crabbe,26,BRK,43,148,46,23,13,46,413
Torrey Craig,28,DEN,75,263,72,37,46,44,430
Jamal Crawford,38,PHO,64,85,229,33,12,99,508
Mitch Creek,26,TOT,5,12,6,2,0,1,21
