PlayerName,Salary
Stephen Curry,37457154
Chris Paul,35654150
Russell Westbrook,35654150
LeBron James,35654150
Kyle Lowry,32700000
Blake Griffin,32088932
Gordon Hayward,31214295
Paul George,30560700
Mike Conley,30521115
James Harden,30421854
Kevin Durant,30000000
Paul Millsap,29580769
Al Horford,28928709
Damian Lillard,27977689
DeMar DeRozan,27739975
Jrue Holiday,26261111
Andrew Wiggins,25467250
Joel Embiid,25467250
Hassan Whiteside,25434263
Andre Drummond,25434263
Anthony Davis,25434263
Bradley Beal,25434263
Harrison Barnes,24793702
Giannis Antetokounmpo,24157303
Steven Adams,24157303
Kevin Love,24119025
Marc Gasol,24119025
Chandler Parsons,24107258
Nicolas Batum,24000000
Rudy Gobert,23491573
Kawhi Leonard,23114066
DeAndre Jordan,22897200
LaMarcus Aldridge,22347015
Serge Ibaka,21666667
Aaron Gordon,21590909
Danilo Gallinari,21587579
Victor Oladipo,21000000
Jimmy Butler,20445779
Ryan Anderson,20421546
Kyrie Irving,20099188
Jabari Parker,20000000
Zach LaVine,19500000
Tyler Johnson,19245370
John Wall,19169800
George Hill,19000000
Jeff Teague,19000000
Klay Thompson,18988725
Allen Crabbe,18500000
Kent Bazemore,18089887
Evan Turner,17868852
Tristan Thompson,17469565
Draymond Green,17469565
Reggie Jackson,17043478
Evan Fournier,17000000
Bismack Biyombo,17000000
Derrick Favors,16900000
Gary Harris,16517857
Andre Iguodala,16000000
Ian Mahinmi,15944154
Dennis Schröder,15500000
DeMarre Carroll,15400000
Gorgui Dieng,15170787
Eric Bledsoe,15000000
Trevor Ariza,15000000
Ricky Rubio,14975000
Tobias Harris,14800000
J.R. Smith,14720000
James Johnson,14651700
Brandon Knight,14631250
Robin Lopez,14357750
Marvin Williams,14087500
Taj Gibson,14000000
Clint Capela,13793103
Thaddeus Young,13764045
Cody Zeller,13528090
Eric Gordon,13500375
Joe Ingles,13045455
Khris Middleton,13000000
Michael Kidd-Gilchrist,13000000
Mason Plumlee,12917808
Wilson Chandler,12800562
Jordan Clarkson,12500000
Miles Plumlee,12500000
Tyreke Evans,12400000
Courtney Lee,12253780
Solomon Hill,12252928
J.J. Redick,12250000
Kelly Olynyk,12137527
Kentavious Caldwell-Pope,12000000
Kemba Walker,12000000
Avery Bradley,12000000
Will Barton,11830358
T.J. Warren,11750000
